Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:stage.process:model.layers.12.self_attn.v_proj,PushPop,3043569119,3057850583,1,3043569119.0,3043569119.0,3043569119,3043569119,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.8.self_attn.v_proj,PushPop,3034756932,3049636614,1,3034756932.0,3034756932.0,3034756932,3034756932,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.9.self_attn.k_proj,PushPop,3027318503,3041856450,1,3027318503.0,3027318503.0,3027318503,3027318503,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.4.self_attn.v_proj,PushPop,3024540477,3039766017,1,3024540477.0,3024540477.0,3024540477,3024540477,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.7.self_attn.k_proj,PushPop,3023887472,3039221200,1,3023887472.0,3023887472.0,3023887472,3023887472,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.v_proj,PushPop,3022898623,3043002665,1,3022898623.0,3022898623.0,3022898623,3022898623,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.12.self_attn.k_proj,PushPop,3022715300,3036815195,1,3022715300.0,3022715300.0,3022715300,3022715300,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.2.self_attn.v_proj,PushPop,3020833802,3035429505,1,3020833802.0,3020833802.0,3020833802,3020833802,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.10.self_attn.v_proj,PushPop,3018762176,3069810041,1,3018762176.0,3018762176.0,3018762176,3018762176,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.3.self_attn.v_proj,PushPop,3016928320,3033149380,1,3016928320.0,3016928320.0,3016928320,3016928320,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.5.self_attn.v_proj,PushPop,3016144223,3030997229,1,3016144223.0,3016144223.0,3016144223,3016144223,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.5.self_attn.k_proj,PushPop,3014391326,3029470261,1,3014391326.0,3014391326.0,3014391326,3014391326,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.9.self_attn.v_proj,PushPop,3010628460,3023744602,1,3010628460.0,3010628460.0,3010628460,3010628460,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.v_proj,PushPop,2997897104,3012145742,1,2997897104.0,2997897104.0,2997897104,2997897104,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.2.self_attn.k_proj,PushPop,2995736304,3010610136,1,2995736304.0,2995736304.0,2995736304,2995736304,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.1.self_attn.k_proj,PushPop,2991852696,3005777048,1,2991852696.0,2991852696.0,2991852696,2991852696,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.4.self_attn.k_proj,PushPop,2978933006,2993997925,1,2978933006.0,2978933006.0,2978933006,2978933006,0.0,58074,58074.0,0.0,1148.0
CCCL:cub::DeviceSelect::Flagged,PushPop,324665305,608580884,28704,11310.8,10144.0,4736,1555621,20819.5,57408,2.0,0.0,0.0
CCCL:cub::DeviceReduce::Sum,PushPop,63678638,484586624,28704,2218.5,2016.0,1600,47936,614.1,28712,1.0,0.0,0.0
CCCL:cub::DeviceRadixSort,PushPop,7848166,8118459,16,490510.4,34864.0,5632,7275397,1809627.1,72,4.5,0.0,0.0
